"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 10, 2019","134.50","133.25","134.77","132.88","7.53M","0.07%"
"Dec 09, 2019","134.41","134.63","135.46","134.41","8.58M","-0.47%"
"Dec 06, 2019","135.04","134.69","135.78","134.65","10.17M","1.49%"
"Dec 05, 2019","133.06","132.68","133.31","132.18","9.59M","0.54%"
"Dec 04, 2019","132.34","130.38","132.47","129.99","10.32M","1.97%"
"Dec 03, 2019","129.78","129.77","129.96","128.59","10.65M","-1.29%"
"Dec 02, 2019","131.47","132.31","132.74","131.35","8.62M","-0.22%"
"Nov 29, 2019","131.76","131.87","132.41","131.45","5.71M","-0.23%"
"Nov 27, 2019","132.06","132.29","132.43","131.65","6.61M","0.30%"
"Nov 26, 2019","131.67","131.82","131.82","130.36","10.49M","0.14%"
"Nov 25, 2019","131.49","131.25","132.07","130.87","10.07M","0.54%"
"Nov 22, 2019","130.79","130.15","131.22","130.10","8.17M","0.66%"
"Nov 21, 2019","129.93","130.00","130.72","129.39","7.71M","0.23%"
"Nov 20, 2019","129.63","130.30","130.62","128.94","11.79M","-0.73%"
"Nov 19, 2019","130.58","130.99","131.25","130.18","8.82M","-0.03%"
"Nov 18, 2019","130.62","129.56","130.65","128.99","8.75M","0.84%"
"Nov 15, 2019","129.53","129.23","129.53","128.40","10.16M","0.72%"
"Nov 14, 2019","128.60","127.72","128.84","127.59","8.48M","0.09%"
"Nov 13, 2019","128.48","128.13","128.81","127.42","8.10M","-0.53%"
"Nov 12, 2019","129.16","129.63","130.62","129.01","9.10M","-0.58%"
"Nov 11, 2019","129.92","129.60","130.10","129.35","8.68M","-0.35%"
"Nov 08, 2019","130.38","129.88","130.40","129.25","9.29M","0.29%"
"Nov 07, 2019","130.00","130.43","131.29","129.92","13.53M","0.54%"
"Nov 06, 2019","129.30","128.69","129.84","128.58","11.23M","0.15%"
"Nov 05, 2019","129.10","129.39","130.30","128.84","13.75M","0.22%"
"Nov 04, 2019","128.82","129.08","129.42","128.56","9.16M","0.80%"
"Nov 01, 2019","127.80","126.20","127.99","126.02","11.68M","2.31%"
"Oct 31, 2019","124.92","125.49","125.73","123.86","11.59M","-0.64%"
"Oct 30, 2019","125.73","126.05","126.26","124.92","8.51M","-0.55%"
"Oct 29, 2019","126.43","126.06","127.42","125.94","9.80M","-0.06%"
"Oct 28, 2019","126.51","126.57","127.21","126.40","9.52M","0.38%"
"Oct 25, 2019","126.03","125.00","126.65","124.75","9.06M","0.80%"
"Oct 24, 2019","125.03","125.29","125.66","124.07","8.06M","-0.07%"
"Oct 23, 2019","125.12","124.20","125.15","124.17","9.40M","0.26%"
"Oct 22, 2019","124.79","123.45","125.10","123.12","12.66M","1.00%"
"Oct 21, 2019","123.55","122.05","123.77","121.99","13.27M","2.48%"
"Oct 18, 2019","120.56","120.00","121.02","119.86","10.42M","0.17%"
"Oct 17, 2019","120.35","120.75","121.57","119.88","11.06M","0.56%"
"Oct 16, 2019","119.68","119.96","120.62","119.38","11.63M","-0.23%"
"Oct 15, 2019","119.96","118.85","121.59","117.87","30.52M","3.01%"
"Oct 14, 2019","116.45","115.85","116.87","115.66","8.88M","0.27%"
"Oct 11, 2019","116.14","116.03","117.99","115.86","15.19M","1.69%"
"Oct 10, 2019","114.21","113.14","115.40","113.00","11.39M","1.40%"
"Oct 09, 2019","112.63","112.67","113.16","112.07","7.34M","0.72%"
"Oct 08, 2019","111.82","113.06","113.06","111.66","11.59M","-2.23%"
"Oct 07, 2019","114.37","114.19","115.50","114.07","6.82M","-0.22%"
"Oct 04, 2019","114.62","112.34","114.94","112.27","9.62M","2.17%"
"Oct 03, 2019","112.19","112.27","112.91","110.52","13.10M","-0.94%"
"Oct 02, 2019","113.25","114.81","114.90","112.93","12.63M","-1.99%"
"Oct 01, 2019","115.55","118.40","119.00","115.41","11.33M","-1.82%"
"Sep 30, 2019","117.69","118.36","118.77","117.22","9.80M","-0.03%"
"Sep 27, 2019","117.72","117.96","118.64","117.28","10.21M","0.59%"
"Sep 26, 2019","117.03","117.88","118.05","116.95","9.92M","-0.82%"
"Sep 25, 2019","118.00","117.27","118.36","117.12","10.27M","0.57%"
"Sep 24, 2019","117.33","118.75","119.26","117.04","11.85M","-1.30%"
"Sep 23, 2019","118.88","117.78","119.12","117.68","9.18M","-0.02%"
"Sep 20, 2019","118.90","119.74","120.34","118.87","22.08M","-0.40%"
"Sep 19, 2019","119.38","119.70","120.34","119.09","9.46M","-0.32%"
"Sep 18, 2019","119.76","118.32","120.08","117.75","10.72M","1.00%"
"Sep 17, 2019","118.57","118.42","118.61","117.24","10.82M","-0.50%"
"Sep 16, 2019","119.16","118.90","119.87","118.38","11.99M","-0.89%"
"Sep 13, 2019","120.23","119.00","120.40","118.75","16.26M","1.97%"
"Sep 12, 2019","117.91","116.55","118.47","115.92","12.28M","0.61%"
"Sep 11, 2019","117.19","116.89","117.20","115.38","9.92M","0.27%"
"Sep 10, 2019","116.87","116.30","117.27","115.73","14.33M","1.27%"
"Sep 09, 2019","115.40","113.71","116.06","113.60","13.99M","2.48%"
"Sep 06, 2019","112.61","112.66","112.98","111.96","7.84M","0.21%"
"Sep 05, 2019","112.37","111.25","113.72","111.20","13.23M","2.28%"
"Sep 04, 2019","109.87","109.45","110.22","108.56","6.94M","1.21%"
"Sep 03, 2019","108.56","108.98","108.99","107.32","9.87M","-1.18%"
"Aug 30, 2019","109.86","109.84","110.56","109.47","10.17M","0.59%"
"Aug 29, 2019","109.22","108.14","109.89","108.02","10.00M","2.27%"
"Aug 28, 2019","106.80","105.08","107.21","105.04","10.59M","1.00%"
"Aug 27, 2019","105.74","107.35","107.56","104.84","14.34M","-1.06%"
"Aug 26, 2019","106.87","106.62","106.99","106.01","8.21M","0.80%"
"Aug 23, 2019","106.02","108.00","108.78","105.11","14.76M","-2.48%"
"Aug 22, 2019","108.72","108.37","109.27","107.93","9.34M","1.03%"
"Aug 21, 2019","107.61","108.21","108.43","107.44","8.19M","0.28%"
"Aug 20, 2019","107.31","107.85","108.44","107.24","8.38M","-1.27%"
"Aug 19, 2019","108.69","109.63","109.75","108.42","8.27M","0.90%"
"Aug 16, 2019","107.72","106.37","107.98","105.87","11.83M","2.40%"
"Aug 15, 2019","105.20","104.82","106.38","104.34","13.37M","0.38%"
"Aug 14, 2019","104.80","106.30","106.91","104.45","19.49M","-4.15%"
"Aug 13, 2019","109.34","107.95","110.33","107.03","12.24M","1.54%"
"Aug 12, 2019","107.68","108.44","108.51","107.21","9.39M","-1.88%"
"Aug 09, 2019","109.74","109.35","110.44","108.29","9.98M","-0.11%"
"Aug 08, 2019","109.86","109.05","110.08","108.72","10.90M","1.69%"
"Aug 07, 2019","108.03","108.00","108.28","105.94","17.32M","-2.17%"
"Aug 06, 2019","110.43","110.05","110.50","108.34","10.20M","0.78%"
"Aug 05, 2019","109.57","110.79","110.98","108.27","15.86M","-2.98%"
"Aug 02, 2019","112.93","112.40","113.43","111.40","11.03M","-0.01%"
"Aug 01, 2019","112.94","115.33","116.80","112.59","15.66M","-2.64%"
"Jul 31, 2019","116.00","116.10","116.18","114.86","13.65M","0.35%"
"Jul 30, 2019","115.59","115.19","116.08","114.76","7.12M","-0.22%"
"Jul 29, 2019","115.85","116.46","117.18","115.79","8.50M","-0.32%"
"Jul 26, 2019","116.22","115.77","116.51","115.53","12.80M","0.44%"
"Jul 25, 2019","115.71","116.89","117.24","115.31","10.14M","-0.96%"
"Jul 24, 2019","116.83","115.58","116.88","115.52","10.01M","0.40%"
"Jul 23, 2019","116.36","114.88","116.45","114.82","12.75M","1.83%"
"Jul 22, 2019","114.27","112.91","114.45","112.77","9.06M","0.64%"
"Jul 19, 2019","113.54","114.89","115.12","113.40","10.40M","-0.99%"
"Jul 18, 2019","114.67","113.93","115.07","113.55","9.40M","0.60%"
"Jul 17, 2019","113.99","114.43","114.94","113.73","13.12M","-0.98%"
"Jul 16, 2019","115.12","113.48","115.50","112.92","16.94M","1.07%"
"Jul 15, 2019","113.90","115.54","115.57","113.53","12.95M","-1.21%"
"Jul 12, 2019","115.30","114.13","115.35","113.93","10.78M","1.05%"
"Jul 11, 2019","114.10","113.37","114.36","113.12","11.60M","0.96%"
"Jul 10, 2019","113.02","113.37","113.83","112.74","9.24M","-0.29%"
"Jul 09, 2019","113.35","112.28","113.49","112.15","8.95M","0.43%"
"Jul 08, 2019","112.87","112.96","113.48","112.50","6.92M","-0.55%"
"Jul 05, 2019","113.49","113.51","114.27","112.92","7.93M","0.59%"
"Jul 03, 2019","112.82","113.34","113.87","112.26","6.85M","-0.86%"
"Jul 02, 2019","113.80","113.51","114.20","113.22","10.18M","0.11%"
"Jul 01, 2019","113.68","113.23","114.52","113.08","12.76M","1.68%"
"Jun 28, 2019","111.80","111.04","112.43","110.90","21.63M","2.72%"
"Jun 27, 2019","108.84","108.84","109.55","108.44","10.91M","0.33%"
"Jun 26, 2019","108.48","108.30","109.31","108.16","10.32M","0.67%"
"Jun 25, 2019","107.76","108.68","108.98","107.67","18.66M","-0.83%"
"Jun 24, 2019","108.66","109.28","109.77","108.53","13.04M","-0.71%"
"Jun 21, 2019","109.44","110.19","111.67","109.09","27.09M","-0.68%"
