"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 22, 2019","80.79","83.79","87.93","76.76","38.67K","-4.44%"
"Oct 21, 2019","84.54","88.78","89.00","83.83","21.00K","-2.27%"
"Oct 18, 2019","86.50","78.96","86.50","77.30","35.17K","8.91%"
"Oct 17, 2019","79.42","79.69","81.85","78.36","20.40K","-0.59%"
"Oct 16, 2019","79.89","77.20","80.35","74.67","19.90K","2.94%"
"Oct 15, 2019","77.61","79.46","82.34","72.15","28.07K","-1.36%"
"Oct 14, 2019","78.68","78.64","83.38","77.43","29.91K","5.54%"
"Oct 11, 2019","74.55","77.89","77.89","72.69","53.18K","-7.26%"
"Oct 10, 2019","80.39","81.46","83.76","78.57","41.90K","-1.60%"
"Oct 09, 2019","81.70","78.37","83.49","74.98","39.36K","1.13%"
"Oct 08, 2019","80.79","75.13","81.20","75.13","36.00K","10.76%"
"Oct 07, 2019","72.94","70.12","73.85","68.91","24.83K","5.01%"
"Oct 04, 2019","69.46","67.81","73.25","67.36","26.69K","0.84%"
"Oct 03, 2019","68.88","74.99","77.29","68.70","72.64K","-5.50%"
"Oct 02, 2019","72.89","69.88","73.43","65.31","40.01K","7.44%"
"Oct 01, 2019","67.84","60.48","67.90","57.63","50.27K","12.00%"
"Sep 30, 2019","60.57","60.85","62.01","59.74","72.46K","3.10%"
"Sep 27, 2019","58.75","60.71","61.54","57.45","66.78K","1.03%"
"Sep 26, 2019","58.15","55.59","59.84","55.59","35.37K","7.65%"
"Sep 25, 2019","54.02","55.28","56.47","53.50","37.68K","1.54%"
"Sep 24, 2019","53.20","49.12","54.18","48.97","94.21K","10.37%"
"Sep 23, 2019","48.20","48.93","49.97","47.91","25.81K","0.71%"
"Sep 20, 2019","47.86","47.34","49.07","46.37","55.83K","-0.58%"
"Sep 19, 2019","48.14","44.05","48.75","43.71","53.65K","5.52%"
"Sep 18, 2019","45.62","45.02","46.35","44.03","167.35K","5.26%"
"Sep 17, 2019","43.34","38.64","43.81","38.64","129.30K","13.66%"
"Sep 16, 2019","38.13","43.61","46.87","36.51","161.50K","-32.89%"
"Sep 13, 2019","56.82","57.05","59.97","55.00","16.83K","-5.49%"
"Sep 12, 2019","60.12","60.00","62.63","57.47","67.66K","5.85%"
"Sep 11, 2019","56.80","56.79","59.24","51.70","64.88K","-1.76%"
"Sep 10, 2019","57.82","55.93","58.50","51.66","45.42K","-0.46%"
"Sep 09, 2019","58.09","66.93","67.64","58.05","32.86K","-17.64%"
"Sep 06, 2019","70.53","69.36","74.50","69.36","14.85K","3.93%"
"Sep 05, 2019","67.86","71.07","71.07","64.65","37.73K","-7.23%"
"Sep 04, 2019","73.15","77.10","77.10","71.93","25.39K","-9.32%"
"Sep 03, 2019","80.67","81.85","86.15","80.00","54.83K","5.13%"
"Aug 30, 2019","76.73","70.95","78.75","70.95","55.27K","6.53%"
"Aug 29, 2019","72.03","77.27","77.71","70.91","41.62K","-10.38%"
"Aug 28, 2019","80.37","88.74","88.82","78.00","69.28K","-11.00%"
"Aug 27, 2019","90.30","85.31","92.26","85.31","21.33K","2.17%"
"Aug 26, 2019","88.38","86.93","89.20","82.87","12.32K","-1.43%"
"Aug 23, 2019","89.66","83.00","90.20","82.51","49.06K","12.54%"
"Aug 22, 2019","79.67","73.55","79.67","72.60","9.63K","6.00%"
"Aug 21, 2019","75.16","71.14","75.70","69.55","14.04K","1.54%"
"Aug 20, 2019","74.02","72.87","76.23","72.32","9.38K","2.65%"
"Aug 19, 2019","72.11","76.53","76.68","71.54","20.34K","-10.53%"
"Aug 16, 2019","80.60","89.10","90.52","79.87","29.75K","-11.47%"
"Aug 15, 2019","91.04","91.68","94.22","89.22","52.40K","1.40%"
"Aug 14, 2019","89.78","82.95","91.48","82.61","67.63K","15.82%"
"Aug 13, 2019","77.52","80.73","81.39","71.24","17.70K","-1.21%"
"Aug 12, 2019","78.47","76.31","81.23","76.31","18.32K","3.17%"
"Aug 09, 2019","76.06","71.76","77.55","71.09","46.11K","2.76%"
"Aug 08, 2019","74.02","76.08","78.83","73.91","27.77K","-6.47%"
"Aug 07, 2019","79.14","82.44","86.25","76.83","23.69K","1.60%"
"Aug 06, 2019","77.89","72.99","81.46","72.99","29.24K","5.37%"
"Aug 05, 2019","73.92","69.99","74.93","69.98","21.70K","13.01%"
"Aug 02, 2019","65.41","63.74","68.14","60.03","18.22K","1.35%"
"Aug 01, 2019","64.54","57.31","66.40","56.28","36.54K","18.12%"
"Jul 31, 2019","54.64","54.62","57.03","50.75","42.11K","-2.67%"
