Date,Price,Open,High,Low,Vol.,Change %
01-Mar-17,853.08 ,853.05 ,854.83 ,849.01 ,2.76M,0.95%
28-Feb-17,845.04 ,851.45 ,854.09 ,842.05 ,2.79M,-0.42%
27-Feb-17,848.64 ,842.38 ,852.50 ,839.67 ,2.71M,0.40%
24-Feb-17,845.24 ,844.69 ,845.81 ,837.75 ,3.69M,-0.82%
23-Feb-17,852.19 ,857.57 ,860.86 ,848.00 ,3.46M,-0.40%
22-Feb-17,855.61 ,856.95 ,858.43 ,852.18 ,2.62M,-0.10%
21-Feb-17,856.44 ,848.84 ,857.98 ,847.25 ,3.51M,1.35%
17-Feb-17,845.07 ,842.00 ,847.27 ,840.73 ,3.11M,0.11%
16-Feb-17,844.14 ,841.84 ,845.00 ,839.38 ,2.71M,0.17%
15-Feb-17,842.70 ,834.00 ,842.81 ,832.82 ,2.97M,0.75%
14-Feb-17,836.39 ,837.00 ,838.31 ,831.45 ,2.79M,-0.02%
13-Feb-17,836.53 ,831.62 ,843.00 ,828.55 ,4.17M,1.10%
10-Feb-17,827.46 ,823.82 ,828.00 ,822.85 ,2.43M,0.74%
09-Feb-17,821.36 ,821.60 ,825.00 ,819.71 ,2.48M,0.20%
08-Feb-17,819.71 ,812.69 ,821.48 ,812.50 ,2.86M,0.89%
07-Feb-17,812.50 ,809.31 ,816.16 ,807.50 ,3.47M,0.60%
06-Feb-17,807.64 ,809.80 ,810.72 ,803.00 ,3.90M,-0.32%
03-Feb-17,810.20 ,806.72 ,818.30 ,804.00 ,10.87M,-3.54%
02-Feb-17,839.95 ,836.59 ,842.49 ,828.26 ,7.35M,0.91%
01-Feb-17,832.35 ,829.21 ,833.78 ,824.94 ,3.85M,1.08%
31-Jan-17,823.48 ,823.75 ,826.99 ,819.56 ,3.14M,-0.83%
30-Jan-17,830.38 ,833.00 ,833.50 ,816.38 ,3.75M,-0.64%
27-Jan-17,835.77 ,839.00 ,839.70 ,829.44 ,3.00M,-0.40%
26-Jan-17,839.15 ,835.53 ,843.84 ,833.00 ,3.59M,0.31%
25-Jan-17,836.52 ,825.79 ,837.42 ,825.29 ,4.02M,1.71%
24-Jan-17,822.44 ,822.00 ,823.99 ,814.50 ,2.97M,0.56%
23-Jan-17,817.88 ,806.80 ,818.50 ,805.08 ,2.80M,1.18%
20-Jan-17,808.33 ,815.28 ,816.02 ,806.26 ,3.38M,-0.09%
19-Jan-17,809.04 ,810.00 ,813.51 ,807.32 ,2.54M,0.19%
18-Jan-17,807.48 ,809.50 ,811.73 ,804.27 ,2.35M,-0.28%
17-Jan-17,809.72 ,815.70 ,816.00 ,803.44 ,3.67M,-0.91%
13-Jan-17,817.14 ,814.32 ,821.65 ,811.40 ,3.79M,0.43%
12-Jan-17,813.64 ,800.31 ,814.13 ,799.50 ,4.87M,1.83%
11-Jan-17,799.02 ,793.66 ,799.50 ,789.51 ,2.99M,0.39%
10-Jan-17,795.90 ,796.60 ,798.00 ,789.54 ,2.56M,-0.13%
09-Jan-17,796.92 ,798.00 ,801.77 ,791.77 ,3.45M,0.12%
06-Jan-17,795.99 ,782.36 ,799.44 ,778.48 ,5.99M,1.99%
05-Jan-17,780.45 ,761.55 ,782.40 ,760.26 ,5.83M,3.07%
04-Jan-17,757.18 ,758.39 ,759.68 ,754.20 ,2.51M,0.47%
03-Jan-17,753.67 ,757.92 ,758.76 ,747.70 ,3.52M,0.51%
30-Dec-16,749.87 ,766.47 ,767.40 ,748.28 ,4.14M,-2.00%
29-Dec-16,765.15 ,772.40 ,773.40 ,760.85 ,3.16M,-0.90%
28-Dec-16,772.13 ,776.25 ,780.00 ,770.50 ,3.30M,0.09%
27-Dec-16,771.40 ,763.40 ,774.65 ,761.20 ,2.64M,1.42%
23-Dec-16,760.59 ,764.55 ,766.50 ,757.99 ,1.98M,-0.75%
22-Dec-16,766.34 ,768.12 ,771.21 ,763.02 ,2.54M,-0.55%
21-Dec-16,770.60 ,770.00 ,771.22 ,765.70 ,2.04M,-0.08%
20-Dec-16,771.22 ,768.65 ,774.39 ,767.71 ,2.70M,0.68%
19-Dec-16,766.00 ,758.89 ,770.50 ,756.16 ,3.11M,1.09%
16-Dec-16,757.77 ,765.00 ,765.13 ,754.00 ,4.85M,-0.42%
15-Dec-16,761.00 ,766.28 ,769.10 ,760.31 ,3.80M,-1.02%
14-Dec-16,768.82 ,778.25 ,780.86 ,762.81 ,5.45M,-0.71%
